Accession,Release_Date,Species,Length,Sequence_Type,Nuc_Completeness,Genotype,Protein,Geo_Location,U_S__State,Host,Isolation_Source,Collection_Date,GenBank_Title
QIB84673,2020-02-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Nepal",,Homo sapiens,"oronasopharynx",2020-01-13,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIA20044,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Yunnan",,Homo sapiens,"lung, oronasopharynx",2020-01-17,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ50182,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: WA",WA,Homo sapiens,"oronasopharynx",2020-01-19,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ50192,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: WA",WA,Homo sapiens,"oronasopharynx",2020-01-19,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHZ00358,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIO04367,2020-03-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"oronasopharynx",2020-01-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68604,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-21,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68614,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-21,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68674,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-21,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68684,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-21,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68694,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-21,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKE23219,2020-05-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKE23231,2020-05-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKE23243,2020-05-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81938,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81950,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81962,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81974,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81986,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81998,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU82010,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU82022,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU82034,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU82046,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU82058,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU82070,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHZ00369,2020-04-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68644,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68654,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIK50438,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Viet Nam: Ho Chi Minh city",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIK50448,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Viet Nam: Ho Chi Minh city",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHQ71973,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: CA",CA,Homo sapiens,"oronasopharynx",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHQ82464,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: AZ",AZ,Homo sapiens,"feces",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJC20993,2020-04-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Hong Kong",,Homo sapiens,"oronasopharynx",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKV49386,2020-06-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Hong Kong",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKF95522,2020-06-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Hong Kong",,Homo sapiens,"",2020-01-22,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKS67455,2020-06-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"oronasopharynx",2020-01-23,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJQ84592,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Thailand",,Homo sapiens,"",2020-01-23,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIG55865,2020-04-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Hong Kong",,Homo sapiens,"saliva, oronasopharynx",2020-01-23,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68554,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-23,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68564,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-23,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68574,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-23,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHQ71963,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: CA",CA,Homo sapiens,"oronasopharynx",2020-01-23,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJQ84712,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Thailand",,Homo sapiens,"",2020-01-23,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD07628,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Hong Kong",,Homo sapiens,"",2020-01-24,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIG55875,2020-04-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Hong Kong",,Homo sapiens,"",2020-01-24,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIG55885,2020-04-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Hong Kong",,Homo sapiens,"",2020-01-24,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81825,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Beijing",,Homo sapiens,"oronasopharynx",2020-01-24,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68584,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-24,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJQ84604,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Thailand",,Homo sapiens,"",2020-01-25,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJQ84616,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Thailand",,Homo sapiens,"",2020-01-25,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81837,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Beijing",,Homo sapiens,"oronasopharynx",2020-01-25,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIS30030,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Hubei, Wuhan",,Homo sapiens,"oronasopharynx",2020-01-25,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIS30042,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Hubei, Wuhan",,Homo sapiens,"oronasopharynx",2020-01-25,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68594,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-25,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68624,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-25,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68634,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-25,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68664,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang, Hangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-25,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIK50417,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Taiwan",,Homo sapiens,"lung, oronasopharynx",2020-01-25,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHU79194,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: WA",WA,Homo sapiens,"oronasopharynx",2020-01-25,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHU79204,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: WA",WA,Homo sapiens,"oronasopharynx",2020-01-25,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHR84449,2020-01-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Melbourne, Victoria",,Homo sapiens,"oronasopharynx",2020-01-25,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKE23267,2020-05-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang",,Homo sapiens,"",2020-01-26,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKE49532,2020-05-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Jiangsu, Changzhou",,Homo sapiens,"oronasopharynx",2020-01-26,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJQ84628,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Thailand",,Homo sapiens,"",2020-01-26,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIS29994,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Hubei, Wuhan",,Homo sapiens,"oronasopharynx",2020-01-26,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIS30006,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Hubei, Wuhan",,Homo sapiens,"oronasopharynx",2020-01-26,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIS30018,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Hubei, Wuhan",,Homo sapiens,"oronasopharynx",2020-01-26,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKE23255,2020-05-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Zhejiang",,Homo sapiens,"",2020-01-26,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIG55895,2020-04-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Hong Kong",,Homo sapiens,"saliva, oronasopharynx",2020-01-27,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIG55905,2020-04-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Hong Kong",,Homo sapiens,"saliva, oronasopharynx",2020-01-27,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIG55925,2020-04-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Hong Kong",,Homo sapiens,"saliva, oronasopharynx",2020-01-27,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIE07471,2020-02-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Guangzhou",,Homo sapiens,"lung, oronasopharynx",2020-01-27,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHZ87592,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: CA",CA,Homo sapiens,"oronasopharynx",2020-01-27,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81873,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Beijing",,Homo sapiens,"oronasopharynx",2020-01-27,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHS34546,2020-03-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1272,GenBank,complete,NaN,surface glycoprotein,"India: Kerala State",,Homo sapiens,"oronasopharynx",2020-01-27,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81849,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Beijing",,Homo sapiens,"oronasopharynx",2020-01-28,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81861,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Beijing",,Homo sapiens,"oronasopharynx",2020-01-28,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHZ87582,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: IL",IL,Homo sapiens,"lung, oronasopharynx",2020-01-28,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJW69151,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Germany: Bavaria",,Homo sapiens,"",2020-01-28,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJW69175,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Germany: Bavaria",,Homo sapiens,"",2020-01-28,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIG55915,2020-04-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Hong Kong",,Homo sapiens,"saliva, oronasopharynx",2020-01-29,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIG55935,2020-04-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Hong Kong",,Homo sapiens,"saliva, oronasopharynx",2020-01-29,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIE07461,2020-02-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Guangzhou",,Homo sapiens,"lung",2020-01-29,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIE07481,2020-02-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Guangzhou",,Homo sapiens,"feces",2020-01-29,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHZ00399,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: MA",MA,Homo sapiens,"oronasopharynx",2020-01-29,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHW06039,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: CA",CA,Homo sapiens,"oronasopharynx",2020-01-29,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHW06049,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: CA",CA,Homo sapiens,"oronasopharynx",2020-01-29,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81885,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Beijing",,Homo sapiens,"oronasopharynx",2020-01-29,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHW06059,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: CA",CA,Homo sapiens,"oronasopharynx",2020-01-29,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHU79173,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Finland",,Homo sapiens,"",2020-01-29,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJW69163,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Germany: Bavaria",,Homo sapiens,"",2020-01-29,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
